vertex_count,density,algorithm,time
10,0.1,prim,5.619300762191415e-05
10,0.1,kruskal,3.4276210062671456e-05
10,0.5,prim,6.669197813607752e-05
10,0.5,kruskal,4.317646031267941e-05
10,0.9,prim,6.890857010148465e-05
10,0.9,kruskal,5.3289969218894837e-05
20,0.1,prim,0.00010250317893223837
20,0.1,kruskal,6.295656261499971e-05
20,0.5,prim,0.00013561375642893837
20,0.5,kruskal,0.00011329605942592025
20,0.9,prim,0.000164369968988467
20,0.9,kruskal,0.00016424645174993203
30,0.1,prim,0.0001583783101523295
30,0.1,kruskal,0.00010269497928675264
30,0.5,prim,0.00023346674162894488
30,0.5,kruskal,0.00022269896959187463
30,0.9,prim,0.00029013382067205384
30,0.9,kruskal,0.00033960060914978385
40,0.1,prim,0.00021636091987602412
40,0.1,kruskal,0.00014283480180893093
40,0.5,prim,0.00033976664824876936
40,0.5,kruskal,0.0003669622601591982
40,0.9,prim,0.00045048736152239146
40,0.9,kruskal,0.0005758840395719744
50,0.1,prim,0.0002712221987894736
50,0.1,kruskal,0.0001958829292561859
50,0.5,prim,0.0004694767895853147
50,0.5,kruskal,0.0005431270482949913
50,0.9,prim,0.0006520224901032635
50,0.9,kruskal,0.0009038932708790526
60,0.1,prim,0.0003433030901942402
60,0.1,kruskal,0.00025884853792376814
60,0.5,prim,0.000626932101440616
60,0.5,kruskal,0.0007845457302755677
60,0.9,prim,0.0009050692315213382
60,0.9,kruskal,0.0013257181202061474
70,0.1,prim,0.0004198782812454738
70,0.1,kruskal,0.0003239086997928098
70,0.5,prim,0.0008122662006644532
70,0.5,kruskal,0.0010524002186139115
70,0.9,prim,0.0011577858601231129
70,0.9,kruskal,0.001787754351971671
80,0.1,prim,0.0005005700094625353
80,0.1,kruskal,0.0004293190297903493
80,0.5,prim,0.0010131331894081086
80,0.5,kruskal,0.001350806038826704
80,0.9,prim,0.0014434801388415507
80,0.9,kruskal,0.0023144149186555296
90,0.1,prim,0.0005717618303606286
90,0.1,kruskal,0.0004870244304765947
90,0.5,prim,0.0011920394099433906
90,0.5,kruskal,0.0017002762987976894
90,0.9,prim,0.0017756781724165194
90,0.9,kruskal,0.0029163478492409923
100,0.1,prim,0.0006545756408013404
100,0.1,kruskal,0.0005844931388855911
100,0.5,prim,0.0014125695207621901
100,0.5,kruskal,0.0020969185908325015
100,0.9,prim,0.0021499437096645126
100,0.9,kruskal,0.003630026958999224
110,0.1,prim,0.000749329800310079
110,0.1,kruskal,0.0006753168991417624
110,0.5,prim,0.001657968589279335
110,0.5,kruskal,0.0025257368991151454
110,0.9,prim,0.0025547402774100192
110,0.9,kruskal,0.00453104385844199
120,0.1,prim,0.0008314166494528763
120,0.1,kruskal,0.0007810223702108488
120,0.5,prim,0.0019202065977151506
120,0.5,kruskal,0.0030152330215787513
120,0.9,prim,0.003117486450064462
120,0.9,kruskal,0.005486033798079006
130,0.1,prim,0.0009590332605876029
130,0.1,kruskal,0.0009205912018660456
130,0.5,prim,0.0024195401679025963
130,0.5,kruskal,0.003668733070662711
130,0.9,prim,0.0036377594096120448
130,0.9,kruskal,0.006496972227760125
140,0.1,prim,0.0010642765599186532
140,0.1,kruskal,0.0010504006390692666
140,0.5,prim,0.0026326844468712806
140,0.5,kruskal,0.004191085151978769
140,0.9,prim,0.004343050511088222
140,0.9,kruskal,0.007560892301844433
150,0.1,prim,0.0011721597291762008
150,0.1,kruskal,0.0011724721002974547
150,0.5,prim,0.0029683494300115853
150,0.5,kruskal,0.004936735961236991
150,0.9,prim,0.0050935941506759265
150,0.9,kruskal,0.008704560008482076
160,0.1,prim,0.0012850533978780731
160,0.1,kruskal,0.00134319859003881
160,0.5,prim,0.0034339659119723364
160,0.5,kruskal,0.005613765438611153
160,0.9,prim,0.005664444931608159
160,0.9,kruskal,0.009901869440509472
170,0.1,prim,0.0014224967887275853
170,0.1,kruskal,0.0015201671072281897
170,0.5,prim,0.00396903850894887
170,0.5,kruskal,0.006439799650397617
170,0.9,prim,0.00647507048008265
170,0.9,kruskal,0.011147152871417347
180,0.1,prim,0.0015033272514119744
180,0.1,kruskal,0.0016068743684445508
180,0.5,prim,0.0040267258102539925
180,0.5,kruskal,0.006841925559565425
180,0.9,prim,0.006649527571280487
180,0.9,kruskal,0.012167699787823949
190,0.1,prim,0.0016224314222927205
190,0.1,kruskal,0.0017928818505606615
190,0.5,prim,0.004536278070590924
190,0.5,kruskal,0.007708661157812458
190,0.9,prim,0.007655933981877752
190,0.9,kruskal,0.013565231609973125
200,0.1,prim,0.0017653632003930397
200,0.1,kruskal,0.001993667423084844
200,0.5,prim,0.004995794020360335
200,0.5,kruskal,0.008578799099486787
200,0.9,prim,0.008468418609991204
200,0.9,kruskal,0.015063686898211017
210,0.1,prim,0.0018977980490308254
210,0.1,kruskal,0.002178533010883257
210,0.5,prim,0.005592956077598501
210,0.5,kruskal,0.009555427689338102
210,0.9,prim,0.00934609377727611
210,0.9,kruskal,0.016634488977724685
220,0.1,prim,0.002057653899246361
220,0.1,kruskal,0.002373829967691563
220,0.5,prim,0.0060985798883484675
220,0.5,kruskal,0.010541979897825514
220,0.9,prim,0.010457823010219726
220,0.9,kruskal,0.01844351933017606
230,0.1,prim,0.002209829981147777
230,0.1,kruskal,0.002577673501800746
230,0.5,prim,0.006697260619548615
230,0.5,kruskal,0.011453644570719916
230,0.9,prim,0.01137624214956304
230,0.9,kruskal,0.01989563187089516
240,0.1,prim,0.0023399876098847017
240,0.1,kruskal,0.002803930348891299
240,0.5,prim,0.007291073150117882
240,0.5,kruskal,0.012506366968445946
240,0.9,prim,0.01224371086078463
240,0.9,kruskal,0.02173310883983504
250,0.1,prim,0.002511181258887518
250,0.1,kruskal,0.0030542959994636475
250,0.5,prim,0.008102709388767835
250,0.5,kruskal,0.01359532274043886
250,0.9,prim,0.013284424900193699
250,0.9,kruskal,0.023581373271881603
260,0.1,prim,0.0026813715111347848
260,0.1,kruskal,0.0032832470192806795
260,0.5,prim,0.008547647422528826
260,0.5,kruskal,0.014752786250028294
260,0.9,prim,0.014262518098985311
260,0.9,kruskal,0.025639101300330366
270,0.1,prim,0.0028581447084434332
270,0.1,kruskal,0.0035676415599300527
270,0.5,prim,0.009192804658960085
270,0.5,kruskal,0.01583025871164864
270,0.9,prim,0.015551601990882773
270,0.9,kruskal,0.027681360600399784
280,0.1,prim,0.00304384973103879
280,0.1,kruskal,0.0038242306298343466
280,0.5,prim,0.009868604578950908
280,0.5,kruskal,0.017148948179965373
280,0.9,prim,0.016673741783306467
280,0.9,kruskal,0.029748059071425813
290,0.1,prim,0.0032058828813023867
290,0.1,kruskal,0.00410447883157758
290,0.5,prim,0.010543639230309054
290,0.5,kruskal,0.018404490438697393
290,0.9,prim,0.01801886089146137
290,0.9,kruskal,0.031920203261834104
300,0.1,prim,0.0033787855395348743
300,0.1,kruskal,0.004397203481639736
300,0.5,prim,0.011191688511753456
300,0.5,kruskal,0.019556334740191233
300,0.9,prim,0.0191306595900096
300,0.9,kruskal,0.03421243390184827
310,0.1,prim,0.003552459550846834
310,0.1,kruskal,0.004682164029800333
310,0.5,prim,0.011701560400542804
310,0.5,kruskal,0.020852508159005082
310,0.9,prim,0.020612569291552064
310,0.9,kruskal,0.03656766306026839
320,0.1,prim,0.0037648833918501622
320,0.1,kruskal,0.004989118748926558
320,0.5,prim,0.012804156978672836
